Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	series	re	wasn	service	person	came	saying	best	asked	much	life	worked	things	had	easy	possible	right	old	people	continue	support	happy	inside	later	team	love	working	following	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	note	take	going	where	many	wants	photos	former	technology	being	around	world	power	industry	favorite	her	complete	am	having	tv	th	large	small	past	full	hours	social	via	company	learn	huge	its	entire	always	found	really	try	obama	also	play	plan	sometimes	set	see	project	movie	available	last	let	whole	blog	recent	amp	couple	d	by	anything	into	link	line	posted	up	us	customers	ago	age	results	video	great	makes	tools	next	process	high	perfect	doing	could	david	start	lot	face	fact	should	hope	means	stuff	email	ve	off	less	web	five	become	does	monday	announced	told	search	work	interview	after	order	office	then	them	network	another	john	do	away	voice	hand	photo	thanks	night	security	marketing	post	months	way	update	together	guy	change	live	write	product	use	still	now	drop	year	space	shows	care	couldn	yourself	ways	than	online	only	between	article	these	media	thinking	real	read	early	using	business	aren	trying	building	since	month	very	learned	family	put	takes	site	tried	help	soon	actually	food	reason	ask	american	miss	mobile	clear	latest	pretty	during	x	close	won	probably	both	battery	else	look	while	used	march	game	popular	some	run	similar	doesn	go	facebook	started	point	links	including	keep	art	long	need	based	she	key	problem	well	page	twitter	home	he	piece	star	friends	companies	likely	even	tips	ever	never	call	tell	movies	give	amazing	answer	before	better	weeks	went	side	mean	content	isn	matter	don	m	stop	bad	said	against	appeared	three	if	make	left	human	yes	yet	deal	down	daily	finally	did	visit	making	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	especially	show	behind	get	enough	reading	across	according	those	different	same	running	money	either	users	videos	youtube	again	important	forget	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	b	click	build	tool	most	services	find	please	simple	create	fun	itself	yesterday	big	bit	google	often	back	single	others	control	stories	ll	day	text	taking	value	almost	com	thought	add	works	happens	buy	minutes	special	original	every	school	york	would	phone	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	news	been	several	able	everything	head	check	no	cool	posts	says	goes	water	today	local	information	happened	name	turn	place	given	white	any	sure	state	review	come	case	myself	someone	week	without	seems	there	program	far	list	design	version	known	rather	short	might	number	health	feel	story	kind	nothing	his	him	wrote	user	c	reasons	questions	question	called	say	nice	once	issues	heart	app	few	something	six	instead	related	our	their	which	who	why	words	view	job	april	will	gets	other	know	because	getting	own	apps	made	whether	book
The Viral Garden	5	10	3	26	0	1	6	0	4	34	0	4	9	4	8	5	5	1	4	8	1	8	2	5	6	36	2	1	7	1	73	1	2	1	0	4	5	4	1	23	3	8	0	6	3	14	0	0	1	2	0	1	0	7	11	15	23	3	0	0	0	18	7	4	5	6	2	5	2	26	3	1	9	3	5	1	3	4	134	9	13	8	1	12	1	6	12	9	4	0	10	2	0	8	0	24	4	0	0	14	10	1	46	5	3	6	6	27	1	10	20	2	0	24	16	19	5	7	5	0	13	3	7	10	1	1	2	14	8	0	7	14	0	3	17	2	7	3	3	20	6	5	1	0	11	5	0	0	3	3	17	0	8	1	0	22	50	6	8	1	39	3	2	1	0	2	3	0	15	41	5	28	2	4	0	3	3	9	2	20	14	22	0	18	6	2	1	5	4	6	9	8	16	2	2	26	122	4	2	9	2	31	13	11	7	4	3	1	25	5	0	4	1	11	1	11	3	10	0	10	3	0	2	0	0	1	3	8	0	5	11	11	6	0	8	1	8	1	2	1	7	20	0	3	3	15	10	14	6	8	1	3	0	8	8	0	1	5	5	14	8	71	1	17	0	0	11	29	7	18	2	3	10	1	11	1	10	5	2	9	10	5	7	1	8	15	7	2	14	16	2	3	13	0	0	3	69	20	9	1	1	1	1	2	0	1	11	0	4	12	1	4	2	0	5	4	13	30	26	3	0	33	1	5	1	24	5	8	0	2	10	4	16	0	3	2	10	0	0	3	5	1	0	8	8	6	12	4	16	9	0	1	15	3	6	7	2	3	6	6	24	2	9	3	2	11	2	7	0	13	8	0	9	19	3	11	0	3	17	21	0	4	11	3	22	11	10	1	2	2	1	1	1	13	1	2	30	0	56	68	1	5	14	5	3	9	6	13	8	2	4	6	8	5	0	0	1	10	10	2	0	1	7	19	5	7	0	3	0	4	0	6	4	10	2	3	2	0	8	11	1	0	7	8	3	14	7	2	3	41	0	1	12	0	0	1	1	1	7	5	0	2	2	0	2	8	3	6	4	0	5	6	0	4	7	2	3	2	3	0	22	10	0	5	0	6	72	21	15	24	1	5	1	12	50	1	17	18	40	7	25	0	7	1	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	1	0	2	1	0	1	1	0	0	2	0	0	1	0	1	6	0	0	2	0	1	5	0	0	0	2	3	0	1	1	0	0	1	1	0	1	2	1	0	2	0	0	0	1	1	0	2	2	0	1	0	0	2	0	2	0	0	1	4	1	0	0	0	0	0	2	1	2	1	0	0	0	2	0	0	0	0	0	0	7	0	0	2	1	0	3	3	3	0	0	4	4	2	1	0	4	2	1	0	0	0	1	1	108	0	2	0	0	5	13	2	0	2	0	1	15	1	1	0	0	0	0	1	0	1	0	0	0	4	1	1	1	1	0	0	2	3	0	0	0	0	2	0	0	0	1	2	0	3	1	0	2	3	1	3	0	2	1	4	0	0	0	1	2	0	3	0	2	0	1	2	1	2	0	0	0	2	0	0	0	3	0	0	0	0	0	1	0	0	2	1	1	0	0	4	0	1	4	0	0	0	0	1	0	0	0	2	3	4	1	0	0	0	1	1	2	0	3	1	0	0	0	0	0	1	0	0	2	0	0	1	5	3	0	0	1	0	9	0	0	1	2	0	1	0	0	0	2	0	2	1	0	3	1	3	0	1	0	0	7	0	0	0	0	0	5	0	3	1	1	1	1	0	1	0	2	0	0	2	2	1	0	0	0	3	1	0	0	3	0	0	0	1	2	2	2	0	0	3	3	0	0	2	0	3	1	4	2	2	0	1	2	0	2	2	1	0	0	0	5	0	4	0	0	1	1	2	0	0	1	1	0	0	4	5	1	0	0	1	0	1	0	1	0	2	2	2	0	0	1	0	7	0	0	0	3	2	0	0	2	0	0	0	0	0	1	1	1	0	2	1	0	0	1	0	1	0	0	0	0	6	0	1	0	0	0	0	3	0	3	0	0	2	2	5	8	1	3	0	0	0	1	1	0	5	0	2	2	0	0	102	1	2	3	1	1	1	2	0	1	5	0	1	0	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	0	0	0	1	0	1	1	0	0	1	0	0	2	0	0	3	0	0	0	9	1	0	0	0	0	1	0	1	1	0	2	0	1	3	1	2	0	0	0	1	3	0	3	4	1	1	0	0	5	2	2	4	3	0	0	1	0	0	0
Home - SearchEngineWatch	0	0	0	3	0	1	0	1	0	0	1	0	0	4	0	1	0	0	0	5	0	0	0	0	1	1	2	1	1	0	1	0	0	0	0	0	3	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	1	2	0	5	0	0	0	0	0	0	0	2	0	0	0	1	2	0	1	6	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	4	0	4	4	1	0	3	1	2	0	0	0	3	0	1	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	1	2	3	0	1	0	1	0	25	1	0	3	2	1	0	2	3	0	0	1	0	0	0	0	0	0	0	7	0	0	1	2	1	0	1	5	0	1	2	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	1	1	0	0	4	1	0	0	2	0	0	2	0	0	0	0	5	0	3	1	0	0	0	1	0	1	18	0	0	0	4	0	2	0	0	1	0	0	2	0	0	0	0	0	3	1	0	0	3	0	0	0	3	0	1	0	1	1	0	0	3	0	3	2	0	5	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	1	2	1	0	1	3	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	0	2	1	0	0	1	0	0	2	2	1	0	1	4	0	2	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	1	0	5	0	1	0	1	0	1	1	0	1	0	0	0	1	0	2	0	0	0	2	4	0	1	2	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	2	0	3	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	6	2	0	2	0	0	0	0	6	0	2	0	1	1	0	0	1	0	0
Neil Gaiman's Journal	0	8	3	53	9	1	9	8	0	18	0	3	4	9	8	3	6	14	2	13	13	25	11	1	43	40	2	2	11	12	61	0	6	8	1	5	0	16	4	3	0	5	0	15	2	11	1	5	6	4	1	2	3	8	27	32	14	0	5	0	0	16	10	23	0	0	0	33	2	24	4	2	38	0	13	1	5	4	4	2	1	5	5	19	2	8	9	27	2	0	33	2	3	3	4	32	11	3	5	22	10	8	14	1	6	6	19	69	6	22	16	3	28	39	38	0	10	3	0	8	5	4	0	11	3	2	3	17	16	2	6	5	3	0	15	10	3	5	2	30	11	0	2	5	7	6	3	6	8	1	12	16	14	10	0	30	41	0	7	2	39	3	2	9	10	0	23	0	0	6	6	8	1	6	1	2	3	9	4	4	14	31	2	41	3	5	0	0	7	2	8	1	29	9	6	8	6	2	5	40	3	2	4	3	7	0	8	3	30	6	11	16	4	1	0	8	2	3	0	1	11	5	4	0	1	1	7	3	5	2	8	10	7	0	7	9	15	1	2	2	2	33	3	1	5	25	8	4	4	3	4	4	32	7	11	0	47	1	3	8	5	15	1	31	2	4	8	0	0	11	0	15	13	2	8	0	3	11	2	18	2	11	17	4	3	0	4	4	15	56	4	2	13	1	0	6	43	31	3	3	4	3	1	6	1	6	19	5	11	13	4	1	16	255	1	4	15	16	29	9	7	33	4	11	4	24	4	12	3	0	6	4	7	1	1	1	0	2	1	13	6	2	7	26	3	3	7	7	20	2	17	4	3	14	2	14	5	4	1	0	18	0	10	7	1	0	7	3	5	7	8	4	2	20	0	2	0	18	33	19	3	3	0	6	32	8	0	2	2	8	7	7	1	9	6	22	36	5	100	80	3	18	21	20	8	17	5	18	8	10	1	14	7	2	5	3	3	24	1	0	11	2	1	13	4	2	2	2	3	10	5	5	5	7	4	12	5	5	8	6	3	3	20	4	9	7	13	5	7	59	1	5	2	2	5	4	3	11	7	1	1	6	27	16	4	19	16	18	0	1	4	7	4	11	9	5	3	2	3	1	15	18	3	4	0	9	38	39	46	6	2	2	1	6	65	0	16	24	27	9	6	3	13	3	51
456 Berea Street	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	2	2	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	5	2	1	1	1	0	2	0	0	0	0	1	1	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	12	0	0	1	0	0	0	8	2	3	1	3	0	0	1	0	0	4	3	4	0	0	0	1	0	0	0	1	0	2	4	8	0	1	1	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	5	1	2	6	0	0	0	0	0	0	0	2	0	3	1	0	1	3	0	1	0	6	0	0	0	0	0	0	0	0	3	0	5	0	0	0	1	0	0	0	9	0	0	3	0	0	0	0	0	0	1	6	0	1	0	0	3	0	1	0	10	0	8	0	0	1	0	4	0	1	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	6	2	4	0	0	0	5	0	0	1	1	0	2	0	1	1	0	0	1	5	0	0	0	6	4	0	0	0	1	0	0	0	0	1	4	0	2	1	0	0	0	1	0	1	2	0	0	0	0	0	3	4	1	1	0	1	0	0	1	0	1	9	5	0	0	0	0	0	4	0	0	0	0	3	5	0	1	1	0	0	0	0	3	0	0	1	3	0	1	1	1	1	0	0	1	1	7	2	0	0	3	1	0	0	0	1	1	0	2	1	2	0	1	2	0	0	0	0	1	3	2	0	0	0	0	2	0	1	0	0	2	0	0	0	0	5	0	2	1	0	0	0	0	0	0	10	0	2	0	0	4	2	0	2	0	0	0	0	3	0	0	0	0	2	0	1	0	3	0	2	0	0	1	1	1	2	3	0	1	0	2	1	4	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	1	1	0	0	0	0	0	7	0	0	1	4	2	0	0	1	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	3	3	1	0	0	0	1	0	5	1	0	0	1	1	1	0	0	0	0
Signal vs. Noise	0	0	0	11	1	0	1	0	0	6	4	1	0	17	3	2	1	1	1	5	2	5	5	2	14	9	2	1	7	1	8	0	16	5	1	1	7	1	7	0	2	0	11	9	1	7	0	0	1	0	0	2	0	4	4	6	7	0	0	0	1	8	1	7	0	2	3	2	0	4	0	0	2	1	2	2	0	2	3	1	2	1	0	3	1	3	3	10	3	0	9	1	0	1	0	5	5	0	0	2	2	3	0	0	1	2	6	10	5	6	1	0	0	11	7	10	4	0	0	2	5	2	0	4	2	0	0	5	6	0	0	5	4	2	5	2	4	9	1	9	4	4	0	3	2	1	0	0	0	0	21	0	3	2	2	3	10	0	3	0	21	4	1	3	0	2	0	0	1	1	1	18	0	3	3	3	5	2	7	3	3	7	2	1	1	4	6	2	2	2	7	2	6	3	0	9	1	1	3	1	1	3	3	4	2	0	4	3	10	3	0	3	3	1	5	2	1	3	1	1	0	1	2	1	2	3	4	1	0	0	4	5	1	0	3	4	1	0	0	3	2	11	0	0	6	5	0	6	5	0	1	0	17	4	4	3	0	1	3	4	1	0	1	3	1	0	1	3	0	9	0	1	4	1	2	0	1	1	5	4	6	2	0	0	1	0	6	2	7	16	0	1	1	0	0	1	11	19	1	1	1	1	0	6	1	0	9	0	3	4	2	2	1	0	1	0	10	2	5	1	1	5	0	8	2	18	2	0	1	0	8	4	3	2	2	0	3	1	0	1	3	0	2	3	5	0	0	1	6	10	2	5	6	3	3	5	0	0	0	2	7	2	4	0	1	0	2	1	0	2	1	0	2	5	2	2	0	2	6	14	0	4	0	4	0	4	1	1	3	0	1	1	3	8	1	2	10	0	17	51	1	4	2	2	1	8	0	3	2	1	1	7	3	3	1	0	0	11	0	2	5	2	1	10	0	2	0	2	4	2	0	0	2	2	2	1	0	0	3	1	0	2	4	0	2	1	3	8	0	8	0	2	0	4	2	1	0	1	3	0	1	5	1	2	1	6	0	0	4	0	1	0	2	0	1	0	0	0	0	0	4	8	0	2	1	21	15	5	10	8	2	1	14	0	6	1	4	9	5	1	2	2	8	0	0
Joel on Software	4	0	1	7	0	0	1	3	4	25	14	0	1	36	1	0	1	2	0	5	2	8	1	3	22	12	4	3	6	4	45	4	1	3	2	1	11	4	5	0	3	2	0	7	2	9	5	6	2	10	6	3	0	7	11	11	7	2	0	0	1	6	11	10	1	3	0	0	2	2	1	0	2	3	4	0	4	4	2	0	10	2	2	2	1	4	6	15	3	0	4	1	2	6	4	8	6	1	4	2	11	3	5	0	6	1	3	15	2	17	0	4	2	45	15	6	0	0	0	0	26	10	6	6	12	1	0	4	16	0	8	16	1	5	8	1	2	5	2	7	6	2	4	3	0	2	0	0	1	6	22	0	5	1	5	9	30	4	0	0	25	1	0	0	0	1	0	2	1	4	9	15	1	3	1	2	1	2	14	11	8	12	0	7	1	1	2	0	2	2	18	3	7	4	0	10	0	3	2	5	3	15	8	2	8	3	8	3	9	0	2	2	0	6	3	9	2	12	1	1	18	0	1	0	0	0	4	1	1	2	1	2	10	0	4	7	9	6	1	1	2	23	1	2	9	13	0	4	7	0	0	7	16	6	15	2	0	0	2	6	2	2	1	1	0	0	0	12	3	21	0	2	10	4	3	0	2	2	6	5	12	1	2	3	2	1	1	3	22	7	4	5	3	0	0	9	33	21	1	2	2	2	0	8	0	0	5	7	6	7	0	3	1	22	1	2	8	11	19	10	3	13	1	1	1	32	3	2	0	0	14	9	4	3	21	4	13	0	0	0	1	1	4	12	1	3	1	3	6	5	0	5	8	6	1	2	1	2	8	1	13	0	11	2	2	2	0	3	0	14	8	3	5	5	5	2	9	0	10	10	0	1	6	3	0	7	7	5	1	4	4	0	2	24	0	1	12	1	12	7	1	2	8	6	5	10	11	4	6	9	2	9	2	6	1	1	3	10	2	3	12	0	2	6	1	1	1	0	2	9	0	0	0	0	1	4	2	0	19	7	0	1	5	3	1	1	1	5	2	23	2	0	6	2	10	2	1	3	17	7	1	4	2	10	0	0	1	1	5	0	0	6	2	8	3	1	2	0	1	3	9	9	3	0	1	32	23	32	19	9	4	3	18	1	19	1	15	12	19	9	8	0	4	1	0
Boing Boing	1	0	0	0	0	0	4	1	1	2	0	0	4	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	2	0	0	0	1	1	1	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	3	0	0	0	0	0	0	1	4	0	2	0	0	1	1	2	0	0	1	0	7	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	1	1	0	0	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	17	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	7	1	1	0	0	0	5	3	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	6	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	0	3	0	1	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	2	5	0	0	4	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	1	0	0	0	0	1	0	0	2	0	2	0	0	0	1	0	1	0	0	0	1	0	1	2	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	3	0	0	0	0	0	5	0	1	0	0	0	0	0	4	0	1
flagrantdisregard	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	3	0	0	5	2	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
Pharyngula	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0
Steve Pavlina's Personal Development Blog	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	2	0	0	0	0	0	5	0	0	0	0	0	1	0	7	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	2	0	0	0	0	0	1	5	1	0	2	0	0	1	6	0	0	2	0	0	7	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	10	0	0	1	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	3	0	4	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	2	1	1	0	1	1	0	2	1	3	1	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	2	0	1	2	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	5	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	2	0	0	0	10	2	0	1	1	0	0	0	1	0	0	0	2	1	0	2	3	0	1	0	0
WIL WHEATON dot NET	0	0	2	6	3	0	1	4	1	4	0	0	0	6	7	0	2	5	0	3	1	6	6	4	10	18	0	1	4	5	10	0	0	2	1	2	0	4	4	0	3	0	0	5	2	4	1	0	2	1	0	0	0	2	6	5	2	2	0	0	2	7	5	9	0	0	2	22	0	4	3	3	0	0	2	0	1	3	1	0	0	0	2	0	2	3	0	16	2	0	5	6	0	1	1	4	0	1	0	7	2	2	3	0	2	0	6	9	2	7	0	1	0	16	1	0	2	5	0	2	4	0	0	1	0	2	0	5	7	0	2	5	5	2	0	0	0	9	0	11	5	0	0	0	0	1	5	1	6	0	7	0	5	0	1	6	3	1	6	1	11	5	3	1	0	0	4	0	0	1	2	9	1	5	1	0	1	4	0	2	3	4	0	5	0	0	0	0	2	0	4	0	4	1	0	2	0	0	0	1	1	0	0	1	0	1	1	0	3	1	7	5	0	0	1	2	0	1	2	2	0	0	3	0	0	0	8	2	0	2	0	0	2	0	1	2	6	0	2	12	0	13	4	0	1	1	0	1	2	0	1	3	0	6	2	0	35	0	0	8	0	2	2	34	1	0	3	0	1	4	0	5	2	3	3	0	3	3	0	3	4	4	4	0	2	0	3	2	5	20	0	2	9	1	0	0	12	6	0	0	2	1	3	5	0	2	6	0	3	2	1	2	4	1	0	2	5	8	10	6	1	8	1	12	1	5	1	0	1	0	4	1	3	2	0	0	0	1	0	1	1	0	0	4	1	2	2	4	10	0	5	3	1	2	0	5	0	0	2	0	1	0	2	1	1	2	4	1	7	0	6	0	0	3	2	1	0	3	3	10	0	0	0	6	1	4	0	0	0	0	1	0	0	5	2	0	8	2	32	44	1	3	9	6	3	2	2	1	2	1	0	1	0	2	3	0	0	10	2	2	3	1	0	2	0	0	1	2	0	5	0	0	0	1	0	0	0	1	0	3	0	0	5	0	6	2	4	1	0	10	0	0	0	0	0	1	1	1	0	0	0	2	2	0	0	11	14	2	0	0	1	0	0	0	0	0	0	0	1	0	7	6	0	0	0	15	8	5	13	4	1	0	2	0	3	0	4	3	17	2	2	0	5	0	0
